,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
95,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
96,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
97,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
98,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
99,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
100,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
101,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
102,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
103,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
104,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
105,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
106,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
107,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
108,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
109,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
110,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
111,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
112,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
113,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
114,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
115,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
116,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes
117,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
118,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
119,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
120,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes
121,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
122,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
123,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
124,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No
125,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
126,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
127,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
128,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
129,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
130,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
131,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes
132,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
133,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
134,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
135,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
136,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
137,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
138,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
139,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
140,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
141,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
142,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
143,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No
144,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
145,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
146,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
147,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
148,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
149,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
150,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No
151,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
152,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
153,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
154,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
155,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No
156,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
157,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
158,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
159,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
160,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
161,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
162,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
163,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
164,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
165,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
166,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
167,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
168,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
169,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
170,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
171,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
172,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
173,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
174,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
175,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
176,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No
177,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
178,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
179,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
180,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
181,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
182,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
183,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
184,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
185,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
186,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes
187,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
188,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
189,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
190,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
191,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
192,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
193,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
194,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
195,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No
196,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
197,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No
198,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
199,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
200,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
201,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
202,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
203,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No
204,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
205,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
206,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
207,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
208,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
209,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes
210,No,No,No,No,No,No,No,No,No,No,Yes,No,No
211,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
212,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
213,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
214,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
215,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
216,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes
217,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No
218,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
219,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
220,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
221,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
222,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
223,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
224,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
225,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
226,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
227,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
228,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No
229,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
230,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
231,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No
232,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
233,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
234,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
235,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
236,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
237,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
238,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
239,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
240,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
241,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
242,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
243,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
244,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
245,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
246,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
247,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
248,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
249,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No
250,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
251,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
252,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No
253,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
254,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes
255,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
256,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
257,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
258,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes
259,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
260,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
261,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes
262,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
263,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
264,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
265,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
266,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
267,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No
268,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
269,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
270,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No
271,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
272,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
273,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
274,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
275,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
276,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
277,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
278,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes
279,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No
280,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
281,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes
282,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
283,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No
284,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
285,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
286,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
287,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
288,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
289,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
290,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
291,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
292,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
293,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
294,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
295,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
296,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes
297,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
298,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
299,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
300,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
301,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No
302,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
303,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
304,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
305,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
306,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
307,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
308,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
309,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
310,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes
311,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
312,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
313,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
314,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
315,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
316,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No
317,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
318,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
319,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
320,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
321,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
322,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes
323,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
324,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
325,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
326,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
327,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
328,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
329,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
330,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
331,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
332,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No
333,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No
334,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
335,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No
336,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
337,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
338,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
339,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
340,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
341,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
342,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
343,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
