,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
9602,0.7589584143023708,0.16666666666666666,0.6056338028169014,0.28978516428119716,0.5347851624880651,1.0,0.0,0.0,0.8112647206195985,0.5590102222050795,0.785468605992682,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.9999999999999999,0,0,0,1,1,0,1,1,1,1,0,1
7831,0.06757351988599558,0.16666666666666666,0.9154929577464789,0.026021662512088893,0.4956315347270153,0.9166666666666665,0.0,0.0,0.6594399503650844,0.4995116626763627,0.586458424507479,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4957059907513647,0.6666666666666666,0.9999999999999999,0,0,1,1,0,0,1,1,1,1,0,0
8087,0.08915662650602409,0.6666666666666666,0.45070422535211274,0.46633164329610155,0.551122032695651,0.33333333333333326,0.0,0.0,0.832996428827079,0.40459943491046246,0.766851601228558,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666,0.0,0.33333333333333337,0.0,0,0,0,1,1,1,0,1,1,1,0,0
7747,0.036248218681176315,0.0,0.14084507042253525,0.137790429609878,0.6370435540319273,0.6666666666666665,1.0,0.0,0.5980064269241429,0.4994288771071491,0.607218948509713,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.33333333333333337,0,1,0,1,1,0,1,0,1,1,0,1
9500,0.8662521051949734,0.0,0.2676056338028169,0.7495297211339446,0.09149523739698867,0.41666666666666663,0.5,0.0,0.9776537762739331,0.43993031757843226,0.8490486382980147,0.0,0.0,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.0,0.5015364201410714,0.33333333333333337,0,1,0,0,0,0,1,0,1,1,0,1
4775,0.2782484777820961,0.0,0.4084507042253521,0.17924675458282566,0.24065635689311266,0.75,0.5,0.0,0.032525007225923615,0.33285003847554495,0.1243005346875285,0.4966520192508893,0.0,0.49377304668475597,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,1,0
531,0.006218422075398367,0.3333333333333333,0.5352112676056339,0.5820256177688984,0.5119277237176199,0.8333333333333333,0.5,1.0,0.1383078211321345,0.4399904798498522,0.21421844124346384,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0,1,0,1,1,0,0,0,1,0,1,1
6666,0.7195491643995335,0.0,0.5633802816901409,0.8060228665762332,0.15622728356765025,0.9166666666666665,0.5,1.0,0.6990833140880679,0.48760909609581893,0.6213840793365834,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,0,1,1,1,0,0,0,0,1,1
8805,0.22508096903744007,0.6666666666666666,0.46478873239436624,0.08360180451027403,0.6477662578656898,0.41666666666666663,0.0,0.0,0.9594760607504976,0.47563040485392916,0.8478034117169078,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,0,0,1,1,1,0,0,0,0,0,1,0
6280,0.05011011789091851,0.16666666666666666,0.5492957746478874,0.7841912220802408,0.41196494980368964,0.41666666666666663,0.0,0.0,0.8169239536099259,0.761893863390746,0.7441387477954645,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,1,0,1,1,0,0,0,0,1,1,0
2552,0.2121259230470268,0.16666666666666666,0.6338028169014085,0.4660572335301188,0.5799470943613108,0.33333333333333326,1.0,0.0,0.09845326872146745,0.6786296603690146,0.21404920353914206,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,1,0,1,0,0,1,0,1,1,1,0
4354,0.001036403679233061,0.16666666666666666,0.1971830985915493,0.3759157121710747,0.5833297517951934,0.33333333333333326,1.0,0.0,0.10260562177168486,0.940484222024445,0.23836352771296818,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.9999999999999999,0,1,0,1,1,1,1,1,0,1,1,1
3617,0.42811244979919677,0.6666666666666666,0.014084507042253558,0.6717155629046827,0.8424241198475362,0.41666666666666663,0.0,0.0,0.06838434692290585,0.11887550991093371,0.14917467239727125,0.0,0.5003663003663003,0.49377304668475597,0.49959931709696537,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.9999999999999999,0,0,0,1,0,0,0,0,1,0,0,1
9631,0.0029019303018525716,0.16666666666666666,0.5070422535211268,0.20323204621936897,0.11911167741549472,0.6666666666666665,0.0,0.0,0.7006110816402351,0.5945847037893558,0.6520048374114984,0.0,0.0,0.49377304668475597,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.6666666666666666,0,1,0,1,1,0,1,0,1,1,0,0
63,0.12789221401735976,0.16666666666666666,0.8873239436619719,0.7263718323279119,0.16992629337769388,0.75,0.0,0.0,0.1584579855527264,0.05958153540958372,0.13428247320300293,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.0,0.9999999999999999,0,0,1,1,0,0,0,1,0,0,0,0
2994,0.16724964373623524,0.16666666666666666,0.15492957746478875,0.05184852539182427,0.17429163495952021,0.16666666666666663,0.5,0.0,0.026012438521430162,0.3806258759361473,0.13134415479064315,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.6666666666666666,0,0,0,1,1,0,1,1,0,0,0,0
462,0.01844798549034849,0.6666666666666666,0.295774647887324,0.5250081722984489,0.06917707967279069,0.0,0.0,0.0,0.18303817840295264,0.7618937111414233,0.24592735001515306,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,0,1,1,0,0,0,0,1,1,0
8012,0.015960616660189143,0.0,0.6619718309859155,0.6389111796103736,0.6368977643617575,0.41666666666666663,0.5,0.0,0.9547289530176457,0.2852583275395726,0.8753218527887197,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,0,1,0,0,1,0,0,1,0,0
4395,0.1531286436066848,0.0,0.5492957746478874,0.6922859658602949,0.5643172619183057,0.41666666666666663,0.0,0.0,0.12536220327070635,0.6786953178894254,0.2463549917328758,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.6666666666666666,0,1,0,1,0,0,1,1,0,1,1,0
3706,0.05889363907241871,0.16666666666666666,0.2676056338028169,0.25730934233786895,0.6773851569261471,0.5833333333333333,0.5,0.0,0.0688406771609686,0.3925360549828256,0.10222813137646078,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.4957059907513647,0.6666666666666666,0.6666666666666666,0,1,0,1,0,1,0,1,0,0,1,1
7,0.5996113486202875,0.3333333333333333,0.16901408450704225,0.2755676082538701,0.3140016454007573,0.8333333333333333,0.0,0.0,0.04597240609318569,0.16638969263711678,0.11767101542385794,0.0,0.0,0.0,0.9999999999999999,0.0,0.33333333333333337,0.6666666666666666,0.9999999999999999,1,0,0,0,0,0,1,0,0,0,0,1
8686,0.020961264412488665,0.0,0.7746478873239436,0.45839880127797733,0.39927720346760315,0.25,0.0,0.0,0.8186949639538874,0.6661447401291757,0.7400425964196163,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.6666666666666666,0.33333333333333337,0,0,0,1,1,1,1,1,1,1,0,1
3,0.35913978494623655,0.16666666666666666,0.4225352112676056,0.1938246951469224,0.9141753605344836,0.75,1.0,0.0,0.22658012928146212,0.19020688679923636,0.2868679834244005,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.9999999999999999,0.6666666666666666,0.33333333333333337,0.33333333333333337,1,0,0,1,0,1,0,0,0,1,0,1
2288,0.1202228267910351,0.0,0.6901408450704226,0.955265052184286,0.48980770089690157,0.41666666666666663,1.0,0.0,0.040959884135956755,0.11894116743134447,0.09788119456247715,0.0,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0,0,0,1,0,0,0,1,0,0,0,0
9163,0.18696722373364424,0.16666666666666666,0.9014084507042254,0.8708549387549748,0.7813441470503717,0.25,0.5,0.0,0.544054696824321,0.5471362023725402,0.4879337209556901,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.4962413865107539,0.9999999999999999,0.6666666666666666,0.33333333333333337,0,0,0,1,1,0,0,1,1,1,0,1
9444,0.023811374530379584,0.3333333333333333,0.23943661971830987,0.3272909276688201,0.5129082848140256,0.16666666666666663,0.0,1.0,0.4937642848326016,0.738315201097162,0.5103557743140009,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0,0,0,1,0,1,0,1,1,1,1,0
3527,0.0813576888197953,0.0,0.16901408450704225,0.25526525042708276,0.5730722265622037,0.5012322062523695,1.0,0.0,0.04760703216156165,0.726248014936458,0.12722714562578955,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.9999999999999999,0,1,1,0,0,1,1,0,0,1,1,1
3001,0.06757351988599558,0.5,0.1267605633802817,0.3272909276688201,0.7425337570503632,0.0,1.0,0.0,0.017727267901726018,0.4520522183394786,0.08560956980936585,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.9999999999999999,1,1,0,1,0,1,0,1,1,0,1,1
5557,0.06757351988599558,0.3333333333333333,0.295774647887324,0.3269140576784287,0.5945707252656869,0.41666666666666663,0.5,0.0,0.8739531909481412,0.2853625231697896,0.7674639335511778,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.33333333333333337,0.6666666666666666,0,1,1,0,0,1,0,0,0,1,0,1
314,0.9995336183443451,0.16666666666666666,0.7746478873239436,0.7879429148389637,0.5102044072301564,0.41666666666666663,0.0,0.0,0.09381773818962984,0.05951598731837365,0.06104387498790358,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,1,0,1,0,0,0,0,1,0,0,0
4452,0.06757351988599558,0.5,0.3802816901408451,0.6034758013886804,0.6791000816590698,0.5,0.0,0.0,0.10341080189203838,0.1663896688481601,0.17450556337370063,0.0,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.4957059907513647,0.0,0.33333333333333337,0,0,0,1,0,0,1,0,0,0,0,1
9220,0.283637776914108,0.6666666666666666,0.676056338028169,0.3272909276688201,0.45319595395743123,0.8333333333333333,0.5,1.0,0.6038017181292202,0.6668208222777526,0.5779642970108129,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.49959931709696537,0.4962413865107539,0.6666666666666666,0.9999999999999999,0.6666666666666666,0,0,1,1,0,0,0,1,0,1,1,1
2484,0.04925508485555124,0.6666666666666666,0.9718309859154929,0.6016889034220567,0.5564294508617182,0.5,0.5,0.0,0.11267953537431231,0.2855742448841575,0.1866870540267178,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,0,0,0,1,1,1,0,1,0,0,0,0
6066,0.03049617826143283,0.16666666666666666,0.08450704225352113,0.25764979825665285,0.010540340338821952,0.5833333333333333,0.5,0.0,0.9961340311817197,0.5352973901958735,0.8693528233992984,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.9999999999999999,0,1,0,0,1,0,1,1,1,0,0,1
8960,0.46324653452519754,0.5,0.5774647887323944,0.8808392807041835,0.4741113782517207,0.25,1.0,0.0,0.9815856614943905,0.44001738515984656,0.8621762231649526,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.9999999999999999,0,0,0,1,1,1,0,0,0,1,0,0
384,0.06757351988599558,0.16666666666666666,0.5915492957746479,0.38975744159115094,0.07423091726983988,0.5,0.5,0.0,0.22800368877651503,0.499511753074398,0.23884890634139164,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.49959931709696537,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0,1,1,1,0,0,1,1,1,1,0,1
810,0.10511724316621324,0.16666666666666666,0.43661971830985913,0.261749563631086,0.7510231485343926,0.41666666666666663,0.5,0.0,0.10274298191988611,0.4875875528166579,0.12745419191951635,0.0,0.0,0.33333333333333337,0.0,0.9999999999999999,0.0,0.33333333333333337,0.33333333333333337,1,0,0,1,0,0,1,1,0,0,1,1
8594,0.4262987433605389,0.3333333333333333,0.619718309859155,0.1289326284375953,0.8919058080750624,1.0,1.0,0.0,0.9310165132635506,0.8214752084886764,0.8531234695429365,0.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0,1,1,1,1,0,0,1,0,1,1,1
405,0.013214146910221531,0.6666666666666666,0.4225352112676056,0.2603325449878117,0.5137076344066993,0.5833333333333333,0.5,0.0,0.03222389308658388,0.38072997641053763,0.06732278263879721,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.0,0,0,0,1,1,1,0,1,0,0,0,1
2175,0.9158440212462754,0.3333333333333333,0.7464788732394366,0.2677723884719935,0.22634149671214804,0.41666666666666663,1.0,1.0,0.4192950886260859,0.17843925118092785,0.3696576767265877,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.49959931709696537,0.0,0.9999999999999999,0.9999999999999999,0.33333333333333337,0,1,0,1,0,1,0,0,0,0,1,0
1048,0.4098976551366757,0.8333333333333333,0.14084507042253525,0.01141972413575792,0.4416278474281607,0.75,0.0,1.0,0.014328643684702902,0.2973934835072758,0.08578239804562551,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0,1,1,1,0,1,1,0,1,1,0,0
4051,0.004352895452778857,0.3333333333333333,0.2816901408450705,0.30114364182660075,0.10973057563323707,0.25,0.5,0.0,0.054072262184919,0.4875220285144046,0.09677952773228385,0.33333333333333337,0.0,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0,1,0,1,0,0,1,0,1,0,1,1
418,0.13693483611866822,0.6666666666666666,0.7887323943661971,0.6004910995766265,0.46483717838840904,0.5,1.0,0.0,0.05527349986689239,0.6067064618166621,0.10946416058156513,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.6666666666666666,0.6666666666666666,0,1,0,1,1,1,0,1,1,0,1,0
1012,0.027879258971369347,0.5,0.3943661971830986,0.6323420393570381,0.6022590884690484,0.5,1.0,0.0,0.09651423918669022,0.2258988763138825,0.12547754713028186,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.0,0.33333333333333337,0,0,0,1,0,0,1,0,0,1,0,0
5334,0.07705661355097809,0.16666666666666666,0.8028169014084506,0.3094766212791522,0.27701950294992345,0.6666666666666665,0.0,0.0,0.7242522528056516,0.48762003901588724,0.6335577370207603,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.0,0,0,0,1,1,0,0,1,0,1,0,1
4887,0.009094442285270113,0.16666666666666666,0.1267605633802817,0.5060430143046785,0.638767748628271,0.33333333333333326,0.0,0.0,0.3062540927730031,0.6192176926425788,0.3740150946948464,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.9999999999999999,0,1,0,1,0,1,0,0,0,1,1,0
970,0.6637388262728332,0.0,0.2112676056338028,0.5117668055374848,0.6053274857349442,0.6666666666666665,0.5,0.0,0.110432921470103,0.4399302224226057,0.1305555245541193,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.49959931709696537,0.33333333333333337,0.9999999999999999,0.6666666666666666,0.6666666666666666,1,0,0,1,0,0,1,0,1,1,0,1
8931,0.07705661355097809,0.5,0.9014084507042254,0.24617091429682184,0.20430778980331882,0.9166666666666665,0.0,0.0,0.9264081398386997,0.10703003682639922,0.7700245781559214,0.9999999999999999,0.9999999999999999,0.49377304668475597,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.5015364201410714,0.6666666666666666,0,1,0,1,0,0,1,0,0,0,0,1
5917,0.1791164658634538,0.5,0.295774647887324,0.2708761403003921,0.11347492628351796,0.75,0.5,0.0,0.5763490859396313,0.9285055307825555,0.593817485025287,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.9999999999999999,0,0,0,0,1,0,1,1,0,1,1,0
5753,0.06757351988599558,0.16666666666666666,1.0,0.2744543184428299,0.327515145692758,0.5833333333333333,0.5,0.0,0.8270025433333914,0.3211268406282971,0.6875417705150257,0.4966520192508893,0.5003663003663003,0.6666666666666666,0.0,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0,1,0,0,1,1,0,0,0,1
7256,0.009897655136675735,0.5,0.7042253521126761,0.2923905963216362,0.468771852649622,0.33333333333333326,0.5,0.0,0.8947841825062155,0.2853625231697896,0.7755867559359365,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.33333333333333337,0,0,1,1,0,1,0,0,0,1,0,0
9400,0.009871745044694909,0.0,0.3380281690140845,0.2642849846627895,0.44799800445122,0.41666666666666663,0.0,0.0,0.56586119479581,0.26168442303732276,0.4863451056906144,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,1,1,0,1,0,0,0,0,1
8451,0.3355875113356652,0.16666666666666666,0.7042253521126761,0.36928219517796307,0.300116126107222,0.41666666666666663,0.0,0.0,0.8469229589511356,0.33307222733084785,0.7484693506462343,0.33333333333333337,0.33333333333333337,0.0,0.9999999999999999,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,0,1,0,0,1,1,0,0,1,1
2666,0.1658245886772898,0.16666666666666666,0.8309859154929579,0.15500990327107916,0.9322246576681574,0.5,1.0,0.0,0.08044196394412632,0.833506235435241,0.1492052215183355,0.0,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0,0,1,1,1,0,1,1,1,1,1,0
2450,0.40562248995983935,1.0,0.05633802816901412,0.5494469182479051,0.44268738396869817,0.6666666666666665,0.5,1.0,0.011335855797986157,0.05958153540958372,0.049923343001272054,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,1,1,1,1,0,0,0,1,0,0,0,1
321,0.6380619251198342,0.16666666666666666,0.7746478873239436,0.29534211854981846,0.10462622823583545,0.5833333333333333,0.5,0.0,0.17858074917282954,0.33304012651271664,0.15561160851677563,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,1,1,0,1,1,0,1,0,0,0
8921,0.11649177354579608,0.16666666666666666,0.9718309859154929,0.14905917620518838,0.749319297074684,0.9166666666666665,1.0,0.0,0.7480856801440845,0.761893863390746,0.6729132781304101,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.6666666666666666,0.4966924308892139,0,1,0,1,1,0,0,0,0,1,1,1
721,0.012410934058815909,1.0,0.352112676056338,0.11803167439935301,0.2353456678136016,0.8333333333333333,0.5,0.0,0.05352309759592112,0.7737680354726079,0.2177248339482256,0.9999999999999999,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.6666666666666666,0.6666666666666666,0,1,1,1,1,0,1,0,0,1,1,0
5520,0.22821609016712008,0.0,0.7323943661971831,0.0946150265744469,0.6419034906092072,0.75,0.5,0.0,0.8712190687279264,0.7263193818064696,0.8566757337626929,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.9999999999999999,0,1,1,0,1,0,0,1,0,1,1,1
1553,0.06757351988599558,0.6666666666666666,0.3661971830985916,0.3786304907646506,0.5002354869613477,0.5012322062523695,0.5,0.0,0.006399282212296362,0.5350686926820255,0.06622816719399516,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.9999999999999999,1,0,0,1,1,0,1,0,0,1,0,0
4985,0.005855680787666796,0.6666666666666666,0.3380281690140845,0.4681547466577046,0.16909258992399562,0.8333333333333333,0.0,0.0,0.267460599927661,0.5715993380751354,0.36403427905054775,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.9999999999999999,0,1,1,1,0,0,0,0,1,1,1,1
5532,0.03655913978494624,0.0,0.7746478873239436,0.2339729306764764,0.262840067046394,0.41666666666666663,0.5,1.0,0.8102332979419438,0.5590820648542244,0.7226115859253615,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,0.9999999999999999,0.6666666666666666,0,0,0,1,0,1,1,1,1,0,1,0
8837,0.00033683119575074493,0.16666666666666666,0.9295774647887324,0.6252766660820244,0.27585158443033747,0.5012322062523695,1.0,0.0,0.946533487860648,0.28541485887446494,0.805591121132472,0.0,0.0,0.33333333333333337,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0,0,0,1,0,0,1,0,1,1,0,1
9822,0.07933670164529083,0.16666666666666666,0.2112676056338028,0.33036170858997516,0.5002354869613477,0.6666666666666665,0.5,1.0,0.7450823992816467,0.452047936327278,0.7206287416421406,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.33333333333333337,0.33333333333333337,0,1,0,1,1,1,1,0,1,1,0,0
8872,0.018033424018655268,0.16666666666666666,0.09859154929577468,0.1347708788009274,0.36339137110549863,0.6666666666666665,1.0,0.0,0.8317885248418861,0.2733843077070335,0.7305784794278416,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.9999999999999999,0,0,0,1,0,0,0,0,0,1,0,0
2196,0.4670812281383599,0.16666666666666666,0.6901408450704226,0.9544524653943721,0.7274306213926538,0.08333333333333326,1.0,0.0,0.048144448025122945,0.27359555364226795,0.11851835227543348,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.6666666666666666,1,1,1,1,1,0,0,1,0,0,0,1
