,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
4985,0,1,1,1,0,0,0,0,1,1,1,1
5532,0,0,0,1,0,1,1,1,1,0,1,0
8837,0,0,0,1,0,0,1,0,1,1,0,1
9822,0,1,0,1,1,1,1,0,1,1,0,0
8872,0,0,0,1,0,0,0,0,0,1,0,0
2196,1,1,1,1,1,0,0,1,0,0,0,1
9387,0,0,1,1,1,0,1,1,1,1,1,0
2586,1,0,0,1,1,1,0,1,1,0,1,0
7684,1,1,0,1,1,0,1,1,1,0,0,1
3920,0,0,0,1,1,0,1,0,1,1,0,1
5231,1,0,1,1,0,0,1,1,0,1,0,0
5391,0,1,1,1,0,0,0,1,1,1,1,0
5056,0,0,0,1,0,0,0,0,1,0,1,0
4603,1,1,0,1,1,1,0,1,0,0,0,0
2354,1,1,0,0,1,0,0,0,1,0,0,0
9639,0,1,0,1,0,0,0,0,1,1,1,1
1572,1,0,1,1,0,0,1,1,0,0,1,1
6749,0,0,1,1,0,0,0,0,0,1,1,1
8460,0,1,0,1,0,1,1,1,0,0,1,1
1349,0,1,0,1,1,0,0,1,0,0,0,1
9259,1,0,0,1,0,1,0,1,0,0,1,1
8705,0,1,0,1,1,0,0,1,0,0,1,0
4449,1,0,0,1,0,1,0,0,1,0,1,1
8684,0,0,0,1,1,1,0,0,1,1,1,1
1587,1,0,0,1,1,1,1,0,1,0,1,0
6287,0,0,0,1,1,0,0,1,0,1,1,0
8885,0,1,1,1,1,1,0,0,1,1,0,0
4337,0,1,1,1,1,1,1,0,1,0,0,0
4913,1,1,1,1,1,1,1,1,1,0,0,1
6015,1,1,0,1,0,1,0,0,0,1,1,1
4277,0,0,1,1,0,0,0,1,1,1,1,1
7726,1,1,0,1,1,0,1,0,0,1,1,1
1692,0,1,0,1,0,0,1,0,1,1,0,0
8958,0,1,0,1,1,1,0,1,0,1,1,0
8366,0,1,0,0,1,1,1,0,1,0,0,1
2209,0,1,0,1,0,0,0,0,1,0,0,0
2901,0,1,0,1,1,0,0,1,0,1,1,1
5898,0,0,0,1,1,0,1,0,0,1,1,1
9021,0,0,0,1,0,1,0,1,1,1,0,1
9190,0,0,0,1,0,0,1,0,1,1,0,1
9870,1,1,1,0,0,1,0,0,0,0,0,1
747,0,0,0,0,0,1,0,0,0,0,1,1
8518,0,0,0,0,1,1,0,0,0,0,0,1
4100,0,1,0,1,0,1,1,1,0,1,1,0
8896,0,1,0,1,1,0,0,1,1,0,0,1
2604,0,1,0,1,0,1,0,1,0,1,1,0
4253,0,1,0,1,1,0,1,1,0,0,0,1
3737,0,1,0,1,0,0,1,0,1,0,0,1
5974,0,1,1,1,1,0,1,1,1,0,1,0
6306,0,1,0,1,0,0,0,1,1,1,0,0
1093,0,1,0,1,1,0,0,1,0,0,1,1
2776,0,0,1,1,1,0,1,0,0,0,1,0
5981,1,1,1,1,1,0,1,0,0,1,1,1
4475,0,0,1,1,1,0,0,0,0,0,1,1
8534,0,1,0,1,1,0,0,0,0,0,1,1
32,0,1,1,1,0,0,1,0,0,1,1,1
2335,0,0,1,1,1,0,0,1,1,1,0,0
4070,0,0,1,1,1,1,1,1,0,1,1,1
4445,1,0,1,1,0,0,0,1,0,0,1,1
2717,0,1,0,1,1,0,1,0,1,1,0,1
7031,1,0,1,1,0,0,0,0,0,0,0,0
2808,0,0,1,1,1,0,0,0,1,0,0,1
6565,0,0,1,1,1,1,0,1,0,1,1,0
7954,0,0,0,1,1,0,0,0,0,0,1,1
580,0,1,1,1,1,1,0,0,0,0,0,1
9771,0,1,0,1,0,1,0,1,1,0,0,0
1,1,0,1,1,1,1,0,0,0,1,1,1
3462,0,1,0,1,1,1,1,1,1,0,0,0
4456,1,1,0,0,0,0,0,0,0,1,0,1
5299,0,1,0,1,0,0,1,0,0,0,0,1
1860,0,0,0,0,1,0,0,0,1,0,0,1
2876,0,0,0,1,1,0,0,0,0,0,1,1
4331,0,0,1,1,0,1,0,0,0,1,1,0
3278,0,0,1,1,0,1,0,0,1,1,1,0
8101,0,1,0,1,1,1,0,1,1,1,1,1
4966,1,1,0,1,1,1,1,0,0,0,1,1
5047,1,0,1,1,0,0,1,1,0,1,1,1
6293,1,0,0,1,1,1,1,0,1,1,1,1
4954,0,1,0,1,0,1,0,0,0,0,0,0
9993,1,1,0,1,0,0,1,1,1,0,1,1
5340,0,0,0,0,1,1,0,0,0,1,1,0
7028,0,1,1,1,0,0,0,0,0,0,0,1
8869,0,1,0,1,1,1,0,1,0,0,1,0
4657,0,0,0,1,0,0,1,1,0,0,1,0
5905,0,0,1,1,1,0,1,1,0,0,0,0
2739,0,0,0,0,1,1,0,1,1,1,0,1
7404,0,1,0,1,1,0,0,1,0,1,0,0
8092,0,1,0,1,1,0,1,0,1,1,0,0
880,0,1,0,1,0,0,0,0,1,1,0,1
3630,0,0,0,1,1,1,0,0,1,0,0,1
2493,0,1,0,1,0,0,1,0,1,0,0,0
7620,0,1,0,1,1,0,0,0,0,1,0,1
7740,0,0,1,1,0,0,1,1,0,1,0,0
4478,0,0,1,1,1,0,0,0,1,1,0,0
1769,0,0,1,1,0,1,0,0,1,0,1,1
4512,0,0,0,1,0,0,1,1,1,0,0,0
3275,0,1,0,1,1,0,0,1,0,0,1,1
1754,0,1,0,1,1,0,1,0,0,1,1,0
4980,0,0,0,1,0,1,1,0,1,0,1,0
5051,0,0,0,0,0,0,0,1,1,0,0,1
5315,1,0,0,1,0,1,0,1,1,1,1,1
7807,1,0,0,1,0,0,0,1,0,0,1,0
6060,0,1,0,1,0,0,1,0,1,1,0,1
709,0,0,1,1,0,1,1,1,0,1,0,1
6854,0,1,0,1,0,0,0,1,0,0,1,1
114,1,0,0,1,0,1,1,0,1,1,0,1
4647,0,0,0,1,0,0,0,0,0,0,1,1
926,1,1,1,1,1,0,0,1,1,0,1,1
5435,0,0,1,1,0,1,0,0,1,0,0,0
2888,0,0,0,1,0,1,0,0,1,1,1,0
2573,1,0,0,1,1,0,1,0,0,0,0,0
3605,0,0,0,1,0,0,0,0,0,1,0,0
7026,1,1,1,1,1,0,1,0,0,0,1,1
688,0,1,0,1,1,0,0,1,0,0,1,1
1471,0,1,1,1,0,1,1,0,1,1,0,1
127,0,0,0,0,1,0,1,1,1,0,0,0
2469,0,0,0,1,1,0,1,0,0,1,0,1
7370,0,1,1,1,1,0,0,0,1,0,1,1
4467,0,1,0,1,1,1,0,0,0,1,1,0
2193,0,1,0,1,0,0,0,1,1,1,1,0
6265,0,0,0,1,1,0,1,0,0,0,0,1
6763,0,1,0,1,1,1,0,0,0,1,1,0
4368,1,1,0,0,0,0,1,1,1,0,1,1
4602,1,1,1,1,0,0,0,0,0,0,0,0
597,0,0,1,1,0,1,0,0,0,0,1,1
1464,1,1,0,1,0,0,0,0,0,1,1,1
6691,1,1,0,1,0,1,1,0,0,1,0,1
9118,0,0,0,0,0,1,1,0,1,1,1,1
1305,1,0,1,1,0,0,1,1,0,0,1,0
4677,0,0,1,1,0,1,0,1,1,1,1,0
3502,1,0,0,1,1,0,1,1,0,0,0,1
761,1,0,1,1,0,0,0,1,0,0,0,0
1838,0,1,0,0,1,1,0,0,1,0,1,1
5126,0,1,0,1,0,0,0,0,1,1,0,0
7046,1,1,0,1,1,0,1,1,1,1,0,1
3021,1,0,1,1,0,0,0,1,0,1,0,1
8914,0,0,1,1,0,1,0,1,0,1,0,0
5406,0,0,1,1,1,0,0,1,0,0,0,1
4122,1,0,0,1,0,1,1,0,1,0,0,0
4583,0,1,0,1,0,0,1,0,0,1,0,0
1523,0,1,1,1,0,0,1,1,0,1,0,1
3922,0,1,0,1,0,0,1,1,0,0,0,1
2230,0,1,0,1,0,0,0,0,0,1,1,0
1997,1,0,0,1,1,0,1,1,0,1,1,1
6553,0,0,0,1,1,1,0,1,0,0,1,1
1858,0,0,0,1,0,0,0,0,0,0,0,0
1516,0,1,1,1,1,0,0,1,1,1,1,0
713,0,1,1,1,1,1,1,0,1,1,1,1
4232,0,0,0,1,1,0,0,0,0,0,1,0
9142,0,1,0,1,1,1,1,0,1,1,1,1
4339,1,1,0,1,0,0,1,0,0,1,1,1
6270,0,1,0,1,0,1,1,1,0,0,0,1
3599,0,0,1,1,0,0,1,0,0,1,1,1
8617,0,1,0,1,1,0,1,1,1,0,1,0
9849,0,0,1,1,1,0,0,0,0,0,0,0
7121,0,0,0,1,0,1,1,0,0,0,1,1
6847,0,0,0,1,0,1,0,0,0,1,0,0
9079,0,0,0,1,0,1,0,1,0,0,1,1
6249,1,0,0,1,0,0,1,0,0,1,1,1
7808,0,1,1,1,1,0,0,0,1,1,0,1
616,0,1,0,1,1,0,1,1,0,1,0,1
3616,0,0,0,1,0,1,0,0,0,1,0,1
8992,0,0,0,1,1,0,1,1,0,1,0,1
2457,0,0,0,1,0,0,0,1,0,0,1,0
1721,0,0,0,0,1,0,1,1,0,1,0,1
6818,0,1,0,1,0,1,0,1,1,1,1,1
623,0,0,0,1,1,1,0,1,0,0,0,1
1964,0,1,0,1,0,0,0,0,0,0,0,1
3172,0,0,1,1,1,1,1,0,1,0,1,0
904,0,0,0,1,1,0,1,0,0,0,0,0
4363,1,1,0,1,1,1,0,1,1,1,1,1
789,0,0,1,1,0,1,1,0,1,0,1,1
4906,0,1,0,1,1,0,0,1,0,1,1,1
8316,0,1,0,1,1,1,0,1,1,1,0,1
9571,0,0,0,1,1,0,1,0,1,0,0,1
7400,0,0,0,1,0,1,0,0,1,1,0,0
380,1,0,0,1,0,0,1,1,0,0,1,1
5448,0,1,0,1,1,1,1,0,0,1,1,0
5489,0,1,0,0,1,0,0,1,0,0,1,0
5142,0,1,1,1,1,0,0,1,0,0,0,1
6131,0,1,1,1,1,0,0,0,1,0,0,1
9762,0,1,0,0,0,1,1,0,0,0,0,0
6753,0,1,1,1,0,0,0,0,1,1,1,1
5879,0,0,1,1,1,0,1,1,1,1,0,1
2424,0,1,0,1,0,0,0,0,0,0,1,1
6465,0,1,0,1,0,0,0,0,1,0,0,1
955,0,0,0,1,0,1,0,0,0,1,1,1
3311,0,1,0,1,1,0,0,1,1,1,1,1
7064,0,0,0,1,1,0,1,0,0,1,0,1
9388,1,0,0,1,1,1,0,0,0,1,0,0
7169,0,0,0,1,0,0,1,1,0,1,0,1
4652,0,1,0,0,0,0,0,0,0,0,0,0
8980,0,1,0,1,1,1,0,1,0,0,0,1
1291,0,0,0,1,1,0,1,0,1,0,0,1
2454,0,1,0,1,0,0,1,0,1,1,1,0
7466,0,0,1,1,0,0,0,0,0,1,0,1
9351,0,0,0,1,1,0,1,1,0,1,1,0
5848,0,1,0,1,0,0,0,0,0,1,1,1
257,0,0,0,1,0,1,1,1,1,0,0,1
7372,0,0,0,0,0,1,0,0,1,0,0,1
4055,0,0,0,1,1,1,1,1,1,1,1,1
5268,0,0,1,1,0,1,1,1,1,1,0,1
8232,0,0,1,1,0,0,1,0,0,0,1,0
3139,0,0,1,1,0,1,0,0,0,1,1,1
7188,0,1,1,1,0,1,0,0,1,0,1,1
6425,1,1,1,1,0,0,0,1,0,1,0,1
272,0,1,0,1,1,1,0,0,0,0,0,0
3201,0,0,0,1,1,0,0,1,0,1,1,0
5279,1,1,0,1,0,1,0,0,0,0,1,1
9009,1,0,0,1,1,0,1,0,0,0,0,1
3548,0,0,0,1,0,0,0,1,0,1,0,0
9072,1,0,0,1,0,0,0,1,0,0,0,0
1315,0,1,0,0,0,1,1,0,0,1,0,1
5096,0,0,0,1,0,1,0,0,1,0,0,1
3959,0,0,0,1,0,0,1,1,0,1,0,1
2630,0,0,0,1,0,0,0,1,0,1,1,1
856,1,0,0,1,1,1,1,0,1,0,1,1
86,1,0,0,1,0,0,1,0,1,0,0,1
1643,1,0,0,1,0,1,0,1,1,1,1,1
8391,0,0,0,1,0,1,1,0,0,0,1,0
5329,1,1,1,1,1,1,0,0,0,1,0,1
9978,0,0,0,1,0,0,1,0,0,1,0,0
5031,0,1,0,1,0,0,1,0,0,0,1,0
6233,0,0,0,0,0,1,1,1,0,0,1,0
3099,0,1,0,1,1,1,0,0,0,1,0,1
2386,1,0,0,1,0,1,0,0,0,0,0,1
5996,0,1,1,1,0,1,1,1,0,1,1,0
4006,0,0,0,1,0,1,0,1,1,1,0,0
6963,0,0,0,1,0,0,0,1,0,0,1,1
3697,1,1,0,1,0,0,0,0,0,0,1,1
523,0,1,0,1,1,1,0,1,1,0,0,1
5930,0,1,0,0,1,1,0,0,1,0,0,0
3169,1,1,0,1,1,1,1,1,0,1,0,1
6241,0,0,0,1,0,0,1,1,1,0,0,1
2052,0,1,1,1,1,0,1,0,0,1,1,0
6814,0,1,1,1,1,0,1,0,0,0,0,1
5050,0,0,0,0,1,0,1,0,0,0,0,0
6360,1,0,0,1,1,0,0,0,0,1,1,0
7223,1,1,1,1,0,1,0,1,0,0,0,0
8005,0,1,0,1,1,1,1,1,0,1,0,0
5963,0,1,0,1,0,1,0,0,0,0,0,1
5113,0,1,0,0,1,0,1,0,0,1,0,1
5409,0,0,0,1,1,0,1,1,1,0,1,1
540,0,0,0,1,1,0,0,0,0,0,1,0
1866,0,1,1,1,0,1,0,0,0,0,0,1
3832,0,0,1,1,1,1,1,0,1,0,0,1
4578,0,1,0,1,0,1,1,1,1,0,1,1
8373,0,1,0,1,0,1,1,1,1,1,0,0
595,0,1,0,1,0,0,1,0,0,0,0,1
3743,1,1,0,1,0,0,1,0,1,0,0,1
1001,1,0,0,1,1,0,1,0,0,0,0,1
7483,0,1,0,1,1,0,0,0,1,1,1,1
2099,0,0,0,1,0,1,1,1,0,0,1,0
6400,0,1,0,1,0,0,1,0,0,0,0,0
6283,0,1,0,1,1,0,0,0,0,0,0,1
8367,1,0,0,1,1,0,1,1,1,0,0,1
939,0,1,1,0,0,0,0,1,0,0,1,0
7603,0,0,0,0,1,1,0,1,0,0,1,1
3443,0,0,0,1,0,0,1,1,0,0,0,0
5319,0,0,1,1,1,1,0,0,1,0,1,0
7034,0,0,1,1,0,0,0,0,1,1,1,1
1260,0,1,1,1,0,1,1,1,0,1,0,1
2083,0,1,0,1,0,1,0,1,0,0,1,1
6570,1,1,0,1,1,0,0,0,0,0,1,1
6848,0,1,0,1,0,0,0,0,0,1,0,0
3174,0,0,1,1,0,0,0,0,0,1,0,1
686,0,0,0,1,0,0,1,0,0,0,1,0
6986,0,1,0,1,1,1,0,0,1,1,1,1
495,0,0,1,1,0,0,0,1,0,1,1,1
9510,0,1,0,1,1,0,0,0,0,1,0,1
1009,0,0,0,1,0,0,0,0,1,0,0,0
4483,0,0,0,1,0,1,0,1,0,1,0,0
3492,0,1,0,1,1,1,0,1,0,0,1,0
3262,0,0,1,1,0,0,0,1,0,0,1,1
9579,0,0,1,1,1,0,0,1,0,0,1,1
2480,0,0,1,1,0,1,0,0,1,1,0,0
5199,0,1,0,0,0,0,0,1,1,1,1,0
2360,0,1,0,0,0,0,1,0,0,0,1,0
5524,0,0,1,1,0,0,0,0,0,1,1,1
8499,0,0,0,1,0,1,1,0,1,0,0,1
3948,1,0,1,1,0,0,1,0,1,0,0,0
3024,0,1,0,1,1,0,1,0,0,1,1,1
8680,0,1,0,1,1,0,1,1,0,1,1,0
6695,0,1,1,0,0,0,0,1,1,0,0,1
9992,1,0,1,1,0,0,0,0,0,1,0,1
7900,0,0,1,1,0,0,1,1,1,1,0,1
209,0,1,0,1,0,1,0,0,0,1,0,1
4374,0,1,0,1,0,0,1,1,1,1,0,1
9310,0,1,0,0,0,0,0,1,0,1,0,1
197,0,1,1,1,0,0,0,1,0,0,1,0
5606,0,0,1,1,1,1,1,0,1,1,1,1
2726,0,0,0,1,1,0,1,1,0,1,1,1
8651,1,1,0,1,0,1,0,1,1,1,1,1
6292,0,1,0,1,1,1,0,0,0,1,0,0
9533,0,1,0,1,0,0,0,1,0,1,0,1
4398,1,0,0,1,1,0,1,0,0,0,1,0
5966,0,0,1,1,1,0,1,0,0,0,1,1
8707,0,1,1,1,1,1,0,1,1,1,0,0
56,0,0,0,1,0,0,1,0,0,0,0,1
7254,0,0,0,1,1,0,1,0,0,0,0,1
398,0,0,1,1,1,1,1,0,1,1,1,1
4089,0,1,0,1,1,0,0,0,1,0,0,1
454,0,1,0,1,1,0,1,0,0,1,0,1
5402,1,0,0,1,1,1,1,1,1,0,0,1
6378,0,1,0,1,0,0,1,1,0,0,1,1
8702,0,1,1,0,0,0,0,0,1,0,1,0
4527,0,0,0,1,1,0,1,1,0,1,0,1
607,0,0,1,1,1,0,0,0,0,0,1,1
7195,0,1,0,1,0,0,1,0,1,0,1,0
2989,0,1,0,1,0,1,0,1,1,1,0,0
4204,0,0,0,1,0,1,0,0,0,1,0,1
9585,0,0,1,1,0,0,0,0,0,0,1,0
8502,0,0,0,1,1,0,0,1,1,0,1,1
6448,0,0,0,1,1,0,0,1,1,1,0,1
3705,0,0,0,1,0,1,1,1,1,0,0,1
1028,0,1,1,1,0,0,1,1,0,0,1,1
1474,0,0,0,1,0,0,1,1,0,1,1,1
2752,0,1,0,1,0,0,1,0,1,1,1,0
341,0,0,1,1,0,1,0,1,0,0,0,1
8377,0,1,0,1,1,0,0,0,0,1,1,0
2035,0,1,0,1,1,1,0,1,0,1,0,1
2007,0,0,1,0,0,0,1,1,1,1,1,0
2935,0,0,0,1,0,1,1,1,0,1,0,0
3626,0,1,0,1,1,1,1,0,0,0,0,0
37,0,1,1,1,1,1,0,1,0,0,0,1
9710,0,0,1,1,0,0,0,1,0,0,1,1
3499,0,0,1,1,0,0,0,0,1,1,0,1
3559,0,1,1,0,1,0,0,0,0,1,0,1
6030,1,0,1,1,0,0,0,1,0,1,0,1
6506,0,0,1,1,0,0,0,1,1,0,1,1
5503,0,0,0,1,1,0,0,1,0,0,1,1
2077,0,1,0,1,1,0,0,0,1,1,1,1
4352,0,1,0,1,0,1,0,1,0,0,0,1
237,0,0,0,1,1,0,1,1,0,0,1,1
5969,0,0,1,1,0,0,1,0,0,0,0,1
6962,0,1,0,1,0,0,0,0,0,0,1,1
8252,0,0,0,1,1,0,1,0,1,0,1,1
7771,0,0,1,1,0,0,0,1,1,1,0,1
8984,1,1,1,1,0,0,1,0,1,0,0,1
1967,0,0,0,1,1,0,0,0,1,1,0,0
2018,0,0,1,1,1,0,0,0,1,1,1,0
2509,1,0,1,1,1,1,1,0,1,0,0,0
869,0,0,0,1,1,0,0,0,0,0,1,1
2326,0,0,1,1,1,0,1,0,1,1,1,1
4557,0,0,0,1,0,1,0,0,0,0,1,1
2472,0,0,0,1,0,1,1,1,0,0,1,0
1496,0,0,0,1,1,0,0,0,1,1,0,1
2949,0,0,0,1,1,1,0,0,0,0,0,0
5449,0,1,1,1,0,1,1,1,0,1,1,0
460,0,1,0,1,1,0,0,0,1,1,1,1
1434,0,0,0,1,0,1,0,0,1,1,0,1
659,0,0,1,1,0,0,0,0,0,0,0,0
4451,0,0,1,1,1,0,1,0,0,0,0,1
3303,0,0,0,1,1,0,0,1,0,0,0,0
1205,0,0,0,1,1,0,0,1,0,1,1,1
2159,0,0,0,1,1,0,1,0,1,1,0,0
4615,0,0,0,1,1,0,0,0,0,1,1,1
2578,1,0,0,1,1,0,1,1,0,0,1,1
1202,0,1,0,1,0,0,0,0,0,0,0,1
3491,0,0,1,1,1,0,1,0,0,0,1,1
7220,0,0,1,1,0,1,1,0,0,0,0,1
1746,0,1,1,1,0,1,0,1,0,1,1,1
2516,1,1,0,1,1,1,0,0,0,1,1,0
7224,0,1,1,1,1,0,1,0,1,0,1,1
6799,1,1,1,1,0,0,1,0,1,1,1,1
1049,0,1,0,1,0,0,1,0,1,0,0,0
2933,0,1,0,1,1,0,0,1,1,1,1,0
3973,0,1,0,1,0,0,0,1,1,0,1,1
9535,0,1,0,1,0,1,1,1,1,0,0,0
2801,1,0,0,1,0,0,0,1,0,0,1,1
933,0,1,0,1,0,1,1,0,1,0,0,0
229,0,1,1,1,1,1,1,1,1,0,0,1
7021,0,1,0,1,0,0,0,0,1,0,0,1
7096,0,0,0,1,0,0,1,0,0,0,0,0
4160,1,0,0,1,1,0,0,0,1,1,0,1
3015,0,1,1,1,1,1,0,1,0,0,1,1
7471,1,1,0,1,0,0,0,1,0,0,0,0
9372,0,1,1,1,0,0,1,1,1,1,0,1
163,1,0,0,1,0,0,0,1,1,1,1,0
1549,1,1,1,1,1,0,1,0,1,0,0,1
4542,0,0,0,1,0,1,1,1,0,1,1,0
5218,0,0,0,1,1,1,1,0,0,1,1,1
2978,0,0,0,1,0,0,0,1,0,0,0,1
9486,0,0,0,1,1,0,0,0,0,1,0,0
1366,0,0,0,1,1,0,0,0,0,0,1,1
279,1,0,0,1,1,0,0,1,0,1,1,0
4543,0,0,1,1,0,0,1,0,0,1,1,0
9982,0,0,1,1,1,1,1,1,0,0,1,1
6810,0,1,1,1,1,0,1,0,0,1,0,1
5471,0,0,0,1,1,0,0,1,0,0,0,1
3449,0,0,0,1,0,1,0,0,1,0,1,1
7442,0,1,0,1,0,1,1,1,1,1,1,1
3065,0,0,1,1,1,0,1,0,0,0,1,1
3565,0,0,1,0,0,1,1,1,0,1,0,1
5531,0,1,1,1,0,1,1,0,0,0,1,0
5162,0,1,0,1,1,0,1,1,0,0,1,1
6727,0,1,0,1,0,0,0,1,0,0,1,1
8361,1,1,1,1,0,1,1,0,0,1,0,1
4575,1,1,0,1,0,0,1,0,0,0,1,1
7547,0,1,1,1,1,1,0,1,0,0,1,1
584,0,1,1,1,0,1,0,0,0,1,1,0
3222,1,0,0,1,1,0,0,0,1,1,1,1
1515,0,0,0,1,1,0,0,0,1,1,1,1
6831,0,0,0,0,0,0,0,0,0,1,1,1
8227,0,1,0,1,1,0,1,1,1,0,1,1
1994,0,0,0,1,1,1,1,1,1,1,0,0
3916,1,1,1,1,0,1,1,0,0,0,0,1
5395,1,0,0,1,0,0,0,1,0,1,1,0
8358,1,1,0,1,0,0,1,0,1,1,0,1
9731,0,0,0,1,1,0,0,0,0,1,0,0
5887,0,1,1,1,1,1,0,1,0,0,0,1
3114,0,1,0,1,1,0,0,0,0,0,1,1
9650,0,0,0,1,1,0,0,0,0,1,1,0
7443,1,0,0,1,1,0,1,1,1,1,1,0
923,0,0,0,1,1,0,1,0,1,1,0,0
5059,1,0,0,1,1,1,0,0,1,0,1,1
1311,0,1,0,1,0,0,1,1,0,0,1,0
8945,0,0,0,1,1,1,0,1,0,0,0,0
3560,0,0,0,1,1,0,1,0,0,1,0,1
9213,0,1,1,1,0,0,0,1,1,0,0,1
4837,1,0,0,1,1,0,1,1,1,0,1,1
8006,0,0,1,1,1,0,0,0,0,1,0,1
6770,1,0,0,1,1,1,1,1,0,0,1,0
8261,1,0,0,1,1,1,0,1,0,0,0,1
2861,1,1,0,1,0,1,0,0,0,0,1,0
524,0,0,0,1,0,0,0,1,1,0,1,1
9398,1,0,0,1,1,0,1,1,0,1,1,1
5809,0,0,0,0,1,1,1,1,1,0,0,1
3349,0,1,0,1,0,0,0,0,1,0,0,1
2037,0,1,1,1,0,1,1,0,1,1,1,0
9675,0,0,0,0,1,1,0,0,0,0,0,0
3594,0,0,1,1,0,0,0,1,0,1,0,1
4873,0,0,0,1,0,0,1,0,1,0,1,0
1588,0,1,0,1,1,1,0,0,0,1,0,1
4610,0,0,1,1,1,1,0,0,1,1,0,0
2917,0,1,0,1,0,1,0,1,0,0,0,1
7956,0,0,0,1,1,1,1,1,0,0,1,0
1420,0,0,1,1,0,0,0,1,1,0,1,1
5077,0,0,1,1,1,0,1,0,0,1,1,1
7492,0,0,0,1,1,0,0,0,0,0,0,1
1772,0,0,0,1,1,0,0,0,0,1,1,1
87,0,1,0,1,1,0,0,0,0,1,1,0
1375,0,0,1,1,0,1,0,1,1,1,1,0
9522,0,1,1,1,1,0,1,0,1,1,1,1
